docid	ID	StrainCollectionID	LGCPlate	LGCPCR1	LGCPCR2	Status	specificnextstep	Kingdom	Phylum	Class	Order	Family	Genus	LGCyesorno	Comment	correcturenecessary	morphok	morphgroup	mc1	mc2	mc3	mc4
49	C1_S01_PCA_04	ID-0056	Plate00	ok	NA	DONE	-	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Dermacoccaceae	Dermacoccus	NA	NA	NA	yes	1	2	0	NA	NA
64	C1_S01_PCA_05	ID-0057	Plate00	ok	NA	DONE	-	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	NA	NA	NA	yes	1	1	0	NA	NA
63	C1_S01_PCA_06	ID-0058	Plate00	ok	NA	DONE	-	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	NA	NA	NA	yes	1	1	0	NA	NA
62	C1_S01_PCA_07	ID-0059	Plate00	ok	NA	DONE	-	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	NA	NA	NA	yes	1	2	0	NA	NA
61	C1_S01_PCA_08	ID-0060	Plate00	ok	NA	DONE	-	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	NA	NA	NA	yes	1	1	0	NA	NA
60	C1_S01_PCA_09	ID-0061	Plate00	ok	NA	DONE	-	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium	NA	NA	NA	yes	1	1	0	NA	NA
59	C1_S01_PCA_10	ID-0062	Plate00	ok	NA	DONE	-	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	NA	NA	NA	yes	1	1	0	NA	NA
58	C1_S01_PCA_11	ID-0063	Plate00	ok	NA	DONE	-	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	NA	NA	NA	yes	1	1	0	NA	NA
57	C1_S01_PCA_12	ID-0064	Plate00	ok	NA	DONE	-	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	NA	NA	yes	1	1	0	NA	NA
8	C1_S01_PCA_13	ID-0001	Plate00	ok	NA	DONE	-	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	NA	NA	NA	yes	1	1	0	NA	NA
7	C1_S01_PCA_14	ID-0002	Plate00	ok	NA	DONE	-	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	NA	NA	NA	yes	1	1	0	NA	NA
6	C1_S01_PCA_15	ID-0003	Plate00	ok	NA	DONE	-	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	NA	NA	NA	yes	1	1	0	NA	NA
5	C1_S01_PCA_16	ID-0004	Plate00	ok	NA	DONE	-	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium	NA	NA	NA	yes	1	1	0	NA	NA
4	C1_S01_PCA_17	ID-0005	Plate00	ok	NA	DONE	-	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	NA	NA	NA	yes	1	1	0	NA	NA
3	C1_S01_PCA_18	ID-0006	Plate00	ok	NA	DONE	-	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium	NA	NA	NA	yes	1	1	1	NA	NA
2	C1_S01_PCA_22	ID-0007	Plate00	ok	NA	DONE	-	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	NA	NA	NA	mis	1	NA	NA	NA	NA
1	C1_S01_PCA_4a	ID-0008	Plate00	ok	NA	DONE	-	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Marinilutecoccus	NA	NA	NA	mis	1	NA	NA	NA	NA
523	C1_S01_YGC25_01	ID-0546	NA	-	NA	RES	pipet to LGC layout for 16shipmentLGC_send only if there are space on plates	NV	NV	NV	NV	NV	NV	NA	NA	NA	yes	3	1	0	NA	NA
522	C1_S01_YGC25_02	ID-0547	Plate03	ok	NA	DONE	-	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Kurtzmaniella-Candida_clade	NA	NA	NA	yes	3	1	0	NA	NA
521	C1_S01_YGC25_03	ID-0548	Plate03	ok	NA	DONE	-	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Kurtzmaniella-Candida_clade	NA	NA	NA	yes	3	10	4	NA	NA
536	C1_S01_YGC25_04	ID-0549	Plate03	ok	NA	DONE	-	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Kurtzmaniella-Candida_clade	NA	NA	NA	yes	3	1	0	NA	NA
535	C1_S01_YGC25_05	ID-0550	NA	-	NA	RES	pipet to LGC layout for 16shipmentLGC_send only if there are space on plates	NV	NV	NV	NV	NV	NV	NA	NA	NA	yes	3	1	0	NA	NA
534	C1_S01_YGC25_06	ID-0551	NA	-	NA	RES	pipet to LGC layout for 16shipmentLGC_send only if there are space on plates	NV	NV	NV	NV	NV	NV	NA	NA	NA	yes	3	1	0	NA	NA
533	C1_S01_YGC25_07	ID-0552	Plate03	ok	NA	DONE	-	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Kurtzmaniella-Candida_clade	NA	NA	NA	yes	3	11	0	NA	NA
704	C1_S01_YGC4_02	ID-0725	Plate03	ok	NA	DONE	-	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Kurtzmaniella-Candida_clade	NA	NA	NA	yes	4	26	17	NA	NA
703	C1_S01_YGC4_03	ID-0726	Plate03	ok	NA	DONE	-	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Kurtzmaniella-Candida_clade	NA	NA	NA	yes	4	5	0	NA	NA
702	C1_S01_YGC4_04	ID-0727	Plate03	ok	NA	DONE	-	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Kurtzmaniella-Candida_clade	NA	NA	NA	yes	4	1	0	NA	NA
701	C1_S01_YGC4_05	ID-0728	Plate03	ok	NA	DONE	-	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Kurtzmaniella-Candida_clade	NA	NA	NA	yes	4	1	0	NA	NA
349	C1_S02_BR_01	ID-0360	NA	-	NA	RES	pipet to LGC layout for 16shipmentLGC_send only if there are space on plates	NA	NA	NA	NA	NA	NA	NA	NA	NA	no	11	NA	NA	NA	NA
348	C1_S02_BR_02	ID-0361	Plate03	ok	NA	DONE	-	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Kurtzmaniella-Candida_clade	NA	NA	NA	no	11	NA	NA	NA	NA
347	C1_S02_BR_03	ID-0362	NA	-	NA	RES	pipet to LGC layout for 16shipmentLGC_send only if there are space on plates	NV	NV	NV	NV	NV	NV	NA	NA	NA	no	11	NA	NA	NA	NA
346	C1_S02_BR_04	ID-0363	Plate03	ok	NA	DONE	-	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Kurtzmaniella-Candida_clade	NA	NA	NA	no	11	NA	NA	NA	NA
345	C1_S02_BR_05	ID-0364	Plate03	ok	NA	DONE	-	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Kurtzmaniella-Candida_clade	NA	NA	NA	no	11	NA	NA	NA	NA
360	C1_S02_BR_06	ID-0365	Plate03	ok	NA	DONE	-	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Kurtzmaniella-Candida_clade	NA	NA	NA	no	11	NA	NA	NA	NA
135	C1_S02_MRS_01	ID-0134	Plate01	ok	NA	DONE	-	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	NA	NA	NA	yes	7	0	1	NA	NA
134	C1_S02_MRS_02	ID-0135	NA	-	NA	RES	-	NV	NV	NV	NV	NV	NV	NA	if necessary	NA	yes	7	42	4	NA	NA
1318	C1_S02_MRS_02W	ID-1483	NA	NA	NA	RES	-	NV	NV	NV	NV	NV	NV	NA	NA	NA	yes	7	42	4	NA	NA
133	C1_S02_MRS_03	ID-0136	Plate01	ok	NA	DONE	-	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium	NA	NA	NA	yes	7	113	13	NA	NA
132	C1_S02_MRS_04	ID-0137	Plate01	ok	NA	DONE	-	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	NA	NA	NA	yes	7	0	2	NA	NA
131	C1_S02_MRS_05	ID-0138	Plate01	ok	NA	DONE	-	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	NA	NA	NA	yes	7	0	1	NA	NA
130	C1_S02_MRS_06	ID-0139	Plate01	ok	NA	DONE	-	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	NA	NA	NA	yes	7	52	9	NA	NA
129	C1_S02_MRS_07	ID-0140	Plate01	ok	NA	DONE	-	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	NA	NA	NA	yes	7	1	0	NA	NA
144	C1_S02_MRS_08	ID-0141	NA	-	NA	EX	-	NV	NV	NV	NV	NV	NV	NA	successful recultivation 16S positive, new no. C1_S02_MRS08W	NA	yes	7	3	2	NA	NA
1317	C1_S02_MRS_08W	ID-1484	NA	NA	NA	open	pipet to LGC layout for 16shipmentLGC	NV	NV	NV	NV	NV	NV	NA	NA	NA	yes	7	3	2	NA	NA
143	C1_S02_MRS_09	ID-0142	Plate01	ok	NA	DONE	-	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	NA	NA	yes	7	3	0	NA	NA
142	C1_S02_MRS_10	ID-0143	Plate06	ok	NA	DONE	-	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Kurtzmaniella-Candida_clade	NA	NA	NA	yes	7	0	1	NA	NA
141	C1_S02_MRS_11	ID-0144	Plate01	ok	NA	DONE	-	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	NA	NA	NA	yes	7	0	1	NA	NA
48	C1_S02_PCA_01	ID-0041	Plate00	ok	NA	DONE	-	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Dermacoccaceae	Dermacoccus	NA	NA	NA	yes	6	4	0	NA	NA
47	C1_S02_PCA_02	ID-0042	Plate00	ok	NA	DONE	-	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium	NA	NA	NA	yes	6	2	1	NA	NA
46	C1_S02_PCA_03	ID-0043	Plate00	ok	NA	DONE	-	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	NA	NA	NA	yes	6	2	0	NA	NA
94	C1_S02_PCA_03RP	ID-0091	Plate00	ok	NA	DONE	-	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	NA	NA	NA	yes	6	2	1	NA	NA
45	C1_S02_PCA_04	ID-0044	Plate00	ok	NA	DONE	-	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	NA	NA	NA	yes	6	3	1	NA	NA
44	C1_S02_PCA_05	ID-0045	Plate00	ok	NA	DONE	-	Bacteria	Firmicutes	Bacilli	Lactobacillales	Listeriaceae	Brochothrix	NA	NA	NA	yes	6	12	1	NA	NA
43	C1_S02_PCA_06	ID-0046	Plate00	ok	NA	DONE	-	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	NA	NA	yes	6	1	0	NA	NA
42	C1_S02_PCA_07	ID-0047	Plate00	ok	NA	DONE	-	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas	NA	NA	NA	yes	6	1	0	NA	NA
41	C1_S02_PCA_08	ID-0048	Plate00	ok	NA	DONE	-	Bacteria	Firmicutes	Bacilli	Lactobacillales	Listeriaceae	Brochothrix	NA	NA	NA	yes	6	7	0	NA	NA
56	C1_S02_PCA_09	ID-0049	Plate00	ok	NA	DONE	-	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	NA	NA	NA	yes	6	8	1	NA	NA
55	C1_S02_PCA_10	ID-0050	Plate00	ok	NA	DONE	-	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	NA	NA	NA	yes	6	10	0	NA	NA
797	C1_S02_PCA_10	ID-0828	NA	NA	NA	DONE	-	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	NA	NA	NA	yes	6	10	0	NA	NA
93	C1_S02_PCA_10RP	ID-0092	Plate00	ok	NA	DONE	-	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	NA	NA	NA	yes	6	10	0	NA	NA
54	C1_S02_PCA_11	ID-0051	Plate06	ok	NA	DONE	-	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Kurtzmaniella-Candida_clade	NA	NA	NA	yes	6	1	1	NA	NA
53	C1_S02_PCA_12	ID-0052	Plate00	ok	NA	DONE	-	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium	NA	NA	NA	yes	6	1	1	NA	NA
20	C1_S02_PCA_13	ID-0021	Plate00	ok	NA	DONE	-	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Simplicispira	NA	NA	NA	yes	6	0	0	NA	NA
19	C1_S02_PCA_14	ID-0022	Plate00	ok	NA	DONE	-	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	NA	NA	yes	6	15	6	NA	NA
18	C1_S02_PCA_15	ID-0023	Plate00	contamination	NA	EX	-	NV	NV	NV	NV	NV	NV	NA	successful recultivation 16S positive, new no. C1_S02_PCA_15W	NA	yes	6	1	1	NA	NA
1309	C1_S02_PCA_15W	ID-1476	NA	NA	NA	open	pipet to LGC layout for 16shipmentLGC	NV	NV	NV	NV	NV	NV	NA	NA	NA	yes	6	1	1	NA	NA
17	C1_S02_PCA_16	ID-0024	Plate00	ok	NA	DONE	-	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	NA	NA	yes	6	2	0	NA	NA
32	C1_S02_PCA_17	ID-0025	Plate00	ok	NA	DONE	-	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	NA	NA	NA	yes	6	1	0	NA	NA
31	C1_S02_PCA_18	ID-0026	Plate00	ok	NA	DONE	-	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	NA	NA	NA	yes	6	1	0	NA	NA
274	C1_S02_VRBD_01	ID-0287	Plate02	ok	NA	DONE	-	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	NA	NA	NA	yes	8	5	0	NA	NA
273	C1_S02_VRBD_02	ID-0288	Plate02	ok	NA	DONE	-	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas	NA	NA	NA	yes	8	1	1	NA	NA
288	C1_S02_VRBD_03	ID-0289	Plate02	ok	NA	DONE	-	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Rahnella1	NA	NA	NA	yes	8	1	0	NA	NA
287	C1_S02_VRBD_04	ID-0290	Plate02	ok	NA	DONE	-	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	MB19	NA	NA	NA	NA	yes	8	13	18	NA	NA
286	C1_S02_VRBD_05	ID-0291	Plate02	ok	NA	DONE	-	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	NA	NA	yes	8	1	0	NA	NA
285	C1_S02_VRBD_06	ID-0292	Plate02	ok	NA	DONE	-	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	NA	NA	NA	yes	8	0	2	NA	NA
284	C1_S02_VRBD_07	ID-0293	Plate02	ok	NA	DONE	-	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	NA	NA	yes	8	1	0	NA	NA
283	C1_S02_VRBD_08	ID-0294	Plate02	ok	NA	DONE	-	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas	NA	NA	NA	yes	8	17	0	NA	NA
392	C1_S02_VRBD_09	ID-0401	Plate07	ok	NA	DONE	-	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	yes	NA	NA	yes	8	1	0	NA	NA
391	C1_S02_VRBD_10	ID-0402	Plate07	ok	NA	DONE	-	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas	yes	NA	NA	yes	8	0	10	NA	NA
390	C1_S02_VRBD_11	ID-0403	Plate07	ok	NA	DONE	-	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	yes	NA	NA	yes	8	1	0	NA	NA
389	C1_S02_VRBD_12	ID-0404	Plate07	ok	NA	DONE	-	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	yes	NA	NA	yes	8	2	0	NA	NA
388	C1_S02_VRBD_13	ID-0405	Plate07	ok	NA	DONE	-	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas	yes	NA	NA	yes	8	2	0	NA	NA
387	C1_S02_VRBD_14	ID-0406	Plate07	ok	NA	DONE	-	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas	yes	NA	NA	yes	8	3	0	NA	NA
683	C1_S02_YGC_01	ID-0714	NA	-	NA	RES	pipet to LGC layout for 16shipmentLGC_send only if there are space on plates	NV	NV	NV	NV	NV	NV	NA	NA	ID	yes	10	16	2	NA	NA
682	C1_S02_YGC_02	ID-0715	Plate03	ok	NA	DONE	-	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Kurtzmaniella-Candida_clade	NA	NA	ID	yes	10	25	7	NA	NA
681	C1_S02_YGC_03	ID-0716	NA	-	NA	RES	pipet to LGC layout for 16shipmentLGC_send only if there are space on plates	NV	NV	NV	NV	NV	NV	NA	NA	ID	yes	10	6	4	NA	NA
588	C1_S02_YGC25_02	ID-0613	Plate06	ok	NA	DONE	-	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Kurtzmaniella-Candida_clade	NA	NA	NA	yes	9	4	15	NA	NA
587	C1_S02_YGC25_03	ID-0614	NA	-	NA	open	NA	NV	NV	NV	NV	NV	NV	NA	NA	NA	yes	9	32	12	NA	NA
586	C1_S02_YGC25_04	ID-0615	Plate06	ok	NA	DONE	-	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Yamadazyma-Candida_clade	NA	NA	NA	yes	9	0	1	NA	NA
585	C1_S02_YGC25_05	ID-0616	Plate08	ok	NA	DONE	-	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	NA	NA	yes	9	1	2	NA	NA
600	C1_S02_YGC25_06	ID-0617	Plate08	ok	NA	DONE	-	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	NA	NA	yes	9	0	0	NA	NA
599	C1_S02_YGC25_07	ID-0618	Plate06	ok	NA	DONE	-	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Kurtzmaniella-Candida_clade	NA	NA	NA	yes	9	3	2	NA	NA
1385	C1_S02_YGC25_07W	ID-1564	NA	NA	NA	RES	-	NV	NV	NV	NV	NV	NV	NA	NA	NA	yes	9	3	0	NA	NA
598	C1_S02_YGC25_09	ID-0619	Plate06	ok	NA	DONE	-	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	NA	NA	NA	NA	yes	9	1	0	NA	NA
696	C1_S02_YGC4_04	ID-0717	NA	-	NA	RES	pipet to LGC layout for 16shipmentLGC_send only if there are space on plates	NV	NV	NV	NV	NV	NV	NA	NA	NA	yes	10	0	1	NA	NA
695	C1_S02_YGC4_05	ID-0718	NA	-	NA	RES	pipet to LGC layout for 16shipmentLGC_send only if there are space on plates	NV	NV	NV	NV	NV	NV	NA	NA	NA	yes	10	0	1	NA	NA
694	C1_S02_YGC4_06	ID-0719	NA	-	NA	RES	pipet to LGC layout for 16shipmentLGC_send only if there are space on plates	NV	NV	NV	NV	NV	NV	NA	NA	NA	yes	10	3	2	NA	NA
693	C1_S02_YGC4_07	ID-0720	NA	-	NA	RES	pipet to LGC layout for 16shipmentLGC_send only if there are space on plates	NV	NV	NV	NV	NV	NV	NA	NA	NA	yes	10	0	2	NA	NA
692	C1_S02_YGC4_08	ID-0721	Plate03	ok	NA	DONE	-	Eukaryota	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Vanrija	NA	NA	NA	yes	10	1	0	NA	NA
691	C1_S02_YGC4_09	ID-0722	NA	-	NA	RES	pipet to LGC layout for 16shipmentLGC_send only if there are space on plates	NV	NV	NV	NV	NV	NV	NA	NA	NA	yes	10	1	0	NA	NA
690	C1_S02_YGC4_10	ID-0723	NA	-	NA	RES	pipet to LGC layout for 16shipmentLGC_send only if there are space on plates	NV	NV	NV	NV	NV	NV	NA	NA	NA	yes	10	1	0	NA	NA
689	C1_S02_YGC4_11	ID-0724	NA	-	NA	RES	pipet to LGC layout for 16shipmentLGC_send only if there are space on plates	NV	NV	NV	NV	NV	NV	NA	NA	NA	yes	10	1	0	NA	NA
